system:index,GEM_plot_code,long,LAI,plot_name,region_name,site,.geo,date
2_2010_01_21_164,ANK-01,-2.65,4.7,Ankasa_Plot_1,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.21]}",2010-01-21
2_2010_01_21_165,ANK-03,-2.65,1.1,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2010-01-21
2_2010_01_21_166,BOB-01,-1.338918,4,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-01-21
2_2010_01_25_166,BOB-01,-1.338918,5.1000000000000005,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-01-25
2_2010_01_29_166,BOB-01,-1.338918,3.4000000000000004,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-01-29
2_2010_02_02_164,ANK-01,-2.65,5.1000000000000005,Ankasa_Plot_1,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.21]}",2010-02-02
2_2010_02_02_165,ANK-03,-2.65,1.5,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2010-02-02
2_2010_02_06_165,ANK-03,-2.65,4.1000000000000005,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2010-02-06
2_2010_02_06_166,BOB-01,-1.338918,4.2,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-02-06
2_2010_02_10_165,ANK-03,-2.65,4.2,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2010-02-10
2_2010_02_10_166,BOB-01,-1.338918,3,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-02-10
2_2010_02_18_166,BOB-01,-1.338918,3.3000000000000003,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-02-18
2_2010_03_14_166,BOB-01,-1.338918,4.3,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-03-14
2_2010_04_07_166,BOB-01,-1.338918,4.9,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-04-07
2_2010_08_05_165,ANK-03,-2.65,4.6000000000000005,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2010-08-05
2_2010_08_05_166,BOB-01,-1.338918,4.7,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-08-05
2_2010_10_12_165,ANK-03,-2.65,1,Ankasa_Plot_3,Ankasa National Park,ANK,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-2.65,5.25]}",2010-10-12
2_2010_10_24_166,BOB-01,-1.338918,4.7,Bobiri_Plot_1_,Bobiri,BOB,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-1.338918,6.691043]}",2010-10-24
