plot_code,day,month,year,subplot,LAI
BOB-01,24,9,2012,NA,2.91
BOB-01,24,9,2012,NA,2.04
BOB-01,24,9,2012,NA,3.48
BOB-01,24,9,2012,NA,3.17
BOB-01,24,9,2012,NA,3.25
BOB-01,24,9,2012,NA,2.86
BOB-01,24,9,2012,NA,4
BOB-01,24,9,2012,NA,3.41
BOB-01,24,9,2012,NA,3.28
BOB-01,24,9,2012,NA,3.62
BOB-01,24,9,2012,NA,2.37
BOB-01,24,9,2012,NA,2.91
BOB-01,24,9,2012,NA,3.33
BOB-01,24,9,2012,NA,3.14
BOB-01,24,9,2012,NA,2.43
BOB-01,24,9,2012,NA,2.27
BOB-01,24,9,2012,NA,3.09
BOB-01,22,10,2012,TRUE,3.3
BOB-01,22,10,2012,NA,3.09
BOB-01,22,10,2012,NA,3.04
BOB-01,22,10,2012,NA,3.17
BOB-01,22,10,2012,NA,2.41
BOB-01,22,10,2012,NA,3.31
BOB-01,22,10,2012,NA,3.79
BOB-01,22,10,2012,NA,3.08
BOB-01,22,10,2012,NA,2.82
BOB-01,22,10,2012,NA,3.15
BOB-01,22,10,2012,NA,4.62
BOB-01,22,10,2012,NA,3.22
BOB-01,22,10,2012,NA,3.32
BOB-01,22,10,2012,NA,2.97
BOB-01,22,10,2012,NA,3.78
BOB-01,22,10,2012,NA,3.18
BOB-01,22,10,2012,NA,3.18
BOB-01,22,10,2012,NA,3.6
BOB-01,22,10,2012,NA,3.49
BOB-01,22,10,2012,NA,3.32
BOB-01,22,10,2012,NA,3.35
BOB-01,22,10,2012,NA,4.16
BOB-01,22,10,2012,NA,3.01
BOB-01,22,10,2012,NA,2.04
BOB-01,22,10,2012,NA,3.02
BOB-01,20,11,2012,TRUE,3.7
BOB-01,20,11,2012,NA,3.76
BOB-01,20,11,2012,NA,4.97
BOB-01,20,11,2012,NA,5.13
BOB-01,20,11,2012,NA,3.57
BOB-01,20,11,2012,NA,3.51
BOB-01,20,11,2012,NA,5.01
BOB-01,20,11,2012,NA,3.24
BOB-01,20,11,2012,NA,2.96
BOB-01,20,11,2012,NA,3.36
BOB-01,20,11,2012,NA,6.91
BOB-01,20,11,2012,NA,4.15
BOB-01,20,11,2012,NA,4.28
BOB-01,20,11,2012,NA,4.08
BOB-01,20,11,2012,NA,4.86
BOB-01,20,11,2012,NA,4.01
BOB-01,20,11,2012,NA,3.71
BOB-01,20,11,2012,NA,4.5
BOB-01,20,11,2012,NA,3.61
BOB-01,20,11,2012,NA,4.16
