plot_code,date,u_LAI,sd_LAI,gam_LAI,loess_LAI
BOB-01,2012-03-13T00:00:00Z,3.4656000000000002,0.7157983887473717,3.703453526350809,3.48844090074387
BOB-01,2012-03-13T00:00:00Z,3.4656000000000002,0.7157983887473717,3.703453526350809,3.48844090074387
BOB-01,2012-04-10T00:00:00Z,3.5372,0.56394828368093,3.6079281757675123,3.46099940484729
BOB-01,2012-04-10T00:00:00Z,3.5372,0.56394828368093,3.6079281757675123,3.46099940484729
BOB-01,2012-05-08T00:00:00Z,3.2332,0.751286230407559,3.502271026454039,3.30204375868078
BOB-01,2012-05-08T00:00:00Z,3.2332,0.751286230407559,3.502271026454039,3.30204375868078
BOB-01,2012-06-05T00:00:00Z,3.0872,0.7623457220972648,3.40601767188444,3.11113185174928
BOB-01,2012-06-05T00:00:00Z,3.0872,0.7623457220972648,3.40601767188444,3.11113185174928
BOB-01,2012-07-30T00:00:00Z,3.794,0.5804595880277397,3.319482576262496,3.76156154879456
BOB-01,2012-07-30T00:00:00Z,3.794,0.5804595880277397,3.319482576262496,3.76156154879456
BOB-01,2012-08-27T00:00:00Z,3.5716,0.5406607069133099,3.358712063522338,3.49893732217201
BOB-01,2012-08-27T00:00:00Z,3.5716,0.5406607069133099,3.358712063522338,3.49893732217201
BOB-01,2012-09-24T00:00:00Z,3.2048,0.5569718724196642,3.4417294406092065,3.20503290748336
BOB-01,2012-09-24T00:00:00Z,3.2048,0.5569718724196642,3.4417294406092065,3.20503290748336
BOB-01,2012-10-22T00:00:00Z,3.2568,0.5062749582325136,3.5450097219510313,3.25695969579546
BOB-01,2012-10-22T00:00:00Z,3.2568,0.5062749582325136,3.5450097219510313,3.25695969579546
BOB-01,2012-11-20T00:00:00Z,4.1688,0.8983703764780612,3.648244427546059,3.83306639727885
BOB-01,2012-11-20T00:00:00Z,4.1688,0.8983703764780612,3.648244427546059,3.83306639727885
BOB-01,2012-12-18T00:00:00Z,3.3133333333333335,0.44244053068000644,3.7246247092463474,3.40777574789315
BOB-01,2012-12-18T00:00:00Z,3.3133333333333335,0.44244053068000644,3.7246247092463474,3.40777574789315
BOB-01,2013-07-29T00:00:00Z,3.753076923076923,0.4803146404661779,3.7878548500139506,3.75755555009799
BOB-01,2013-07-29T00:00:00Z,3.753076923076923,0.4803146404661779,3.7878548500139506,3.75755555009799
BOB-01,2013-08-26T00:00:00Z,4.115,0.7273747314830231,3.7827411767075043,4.10306826841537
BOB-01,2013-08-26T00:00:00Z,4.115,0.7273747314830231,3.7827411767075043,4.10306826841537
BOB-01,2013-10-24T00:00:00Z,3.9742307692307692,0.7772215801271763,3.807380968236116,3.88659019971571
BOB-01,2013-10-24T00:00:00Z,3.9742307692307692,0.7772215801271763,3.807380968236116,3.88659019971571
BOB-01,2013-11-20T00:00:00Z,3.598076923076923,0.5384943396602733,3.84099471979145,3.72927867486363
BOB-01,2013-11-20T00:00:00Z,3.598076923076923,0.5384943396602733,3.84099471979145,3.72927867486363
BOB-01,2013-12-19T00:00:00Z,3.6315384615384616,0.5579153506236751,3.8908641910707646,3.58810610560274
BOB-01,2013-12-19T00:00:00Z,3.6315384615384616,0.5579153506236751,3.8908641910707646,3.58810610560274
BOB-01,2014-06-03T00:00:00Z,4.388846153846154,0.49011285984415404,4.230176283981878,4.37907411232035
BOB-01,2014-06-03T00:00:00Z,4.388846153846154,0.49011285984415404,4.230176283981878,4.37907411232035
BOB-01,2014-07-02T00:00:00Z,4.145555555555555,0.5303963248721738,4.259987971933852,4.1945443205714
BOB-01,2014-07-02T00:00:00Z,4.145555555555555,0.5303963248721738,4.259987971933852,4.1945443205714
BOB-01,2014-08-27T00:00:00Z,4.388846153846154,0.49011285984415404,4.259179122048006,4.29742082482584
BOB-01,2014-08-27T00:00:00Z,4.388846153846154,0.49011285984415404,4.259179122048006,4.29742082482584
BOB-01,2014-09-10T00:00:00Z,4.211153846153846,0.32524854401613446,4.245518030311239,4.33601561062711
BOB-01,2014-09-10T00:00:00Z,4.211153846153846,0.32524854401613446,4.245518030311239,4.33601561062711
BOB-01,2014-10-06T00:00:00Z,4.425769230769231,0.4267287014197481,4.20455807980171,4.33334075133979
BOB-01,2014-10-06T00:00:00Z,4.425769230769231,0.4267287014197481,4.20455807980171,4.33334075133979
BOB-01,2014-11-12T00:00:00Z,3.4834615384615386,0.4033255985696153,4.108979103804557,3.66153166002666
BOB-01,2014-11-12T00:00:00Z,3.4834615384615386,0.4033255985696153,4.108979103804557,3.66153166002666
BOB-01,2014-12-17T00:00:00Z,4.430384615384615,0.40413345092165553,3.985349252356014,4.42920102366722
BOB-01,2014-12-17T00:00:00Z,4.430384615384615,0.40413345092165553,3.985349252356014,4.42920102366722
BOB-01,2015-01-29T00:00:00Z,3.8576923076923078,0.3039382528384039,3.8617506605077967,3.84746332174691
BOB-01,2015-01-29T00:00:00Z,3.8576923076923078,0.3039382528384039,3.8617506605077967,3.84746332174691
BOB-01,2015-02-25T00:00:00Z,3.709230769230769,0.33664132933343843,3.8452888166183268,3.71713186322164
BOB-01,2015-02-25T00:00:00Z,3.709230769230769,0.33664132933343843,3.8452888166183268,3.71713186322164
BOB-01,2015-03-10T00:00:00Z,3.763846153846154,0.4497917466835239,3.86401762832266,3.75674073520621
BOB-01,2015-03-10T00:00:00Z,3.763846153846154,0.4497917466835239,3.86401762832266,3.75674073520621
BOB-01,2015-04-13T00:00:00Z,4.181153846153847,0.5819094563457577,3.9990890458247335,4.15291174901051
